OBJECTID,pointid,percentage,Lon,Lat,RastX,RastY
1,13209,32.86500168,-141.5998508,60.99978943,-3310553.11,3739600.273
2,15616,11.35333347,-141.1743948,60.07196192,-3386410.201,3665388.288
3,19646,1.99333334,-137.940592,59.86845883,-3306763.03,3501743.996
4,20289,10.9333334,-138.7013674,59.3182334,-3381545.112,3502964.013
5,26285,1.050000072,-134.7884602,58.66121798,-3311193.196,3277658.713
6,26584,8.763333321,-134.6850938,58.58644573,-3314227.825,3267879.055
7,29040,32.66999817,-133.6333322,57.96265235,-3331831.758,3176950.924
8,33882,2.466666698,-131.7344822,56.76781822,-3364347.673,3005453.744
9,34173,32.23333359,-131.7831487,56.64065231,-3377116.687,2998817.172
10,35951,2.133333445,-62.55639271,57.53319763,354012.9006,1513582.488
11,36253,9.649999619,-62.04652865,57.2721092,386908.6871,1487389.874
12,36551,2.133333445,-62.72268856,57.37247521,345566.6809,1495012.625
13,36555,14.92333317,-62.13042489,57.19217006,382679.6548,1478115.633
14,36557,6.296666622,-61.83661867,57.1009253,401221.4785,1469656.491
15,36854,8.413332939,-62.65684648,57.2473528,350627.3436,1481511.272
16,37164,9.583333969,-62.15041922,56.98683788,383497.5235,1455348.635
17,37170,34.08666992,-61.13467957,56.66466942,448309.752,1425733.177
18,37477,7.733333588,-61.94171509,56.81592993,397800.4722,1437634.066
19,37478,8.843333244,-61.79644899,56.77019369,407060.0588,1433407.426
20,37479,14.07666683,-61.65156358,56.72427971,416317.2235,1429179.056
21,37481,13.26499939,-61.21919145,56.58547916,444074.178,1416483.647
22,37787,13.26499939,-62.31597873,56.82684707,375052.9692,1436817.36
23,37788,12.04333401,-62.17017852,56.7815794,384315.6451,1432596.623
24,37790,11.56333351,-61.7350479,56.64470484,412089.2005,1419923.963
25,38380,0.723333359,-66.54494523,57.81255686,115720.137,1531431.908
26,38411,34.08666992,-61.90088362,56.48541173,403640.3884,1401418.941
27,38724,6.443333626,-62.12724415,56.45116545,390169.3158,1396387.759
28,38725,3.863333464,-61.83960661,56.36004755,408667.4599,1387948.54
29,38726,3.069999933,-61.26879079,56.17571266,445635.0691,1371049.65
30,38727,6.296666622,-61.12701578,56.12919611,454870.992,1366820.715
31,38735,23.38333321,-129.7703665,55.72049996,-3374878.109,2838203.762
32,39006,0.723333359,-66.84860001,57.68599084,98074.12796,1516945.829
33,39038,11.33333302,-62.06522397,56.32593116,395201.1644,1382920.796
34,39039,15.1833334,-61.9218089,56.2803942,404447.3283,1378702.712
35,39040,23.30666733,-61.6360869,56.18879532,422932.5123,1370261.425
36,39041,31.98666573,-61.49377999,56.14273491,432171.5308,1366038.239
37,39042,1.850000024,-61.35184246,56.09650156,441408.1659,1361813.368
38,39044,6.769999981,-61.06907541,56.00351904,459874.283,1353358.608
39,39046,2.573333502,-60.78778537,55.90985387,478330.8586,1344897.212
40,39047,34.74333572,-60.64769403,55.8627672,487555.5668,1340664.045
41,39048,25.24333382,-60.36861824,55.76808948,505997.8214,1332192.817
42,39321,0.723333359,-68.01584627,57.87309963,28615.08109,1536663.419
43,39358,19.31333351,-62.43433472,56.33644812,372489.1109,1382100.556
44,39360,3.069999933,-62.146839,56.24612195,390985.1268,1373674.3
45,39361,14.31333351,-61.86081175,56.15509249,409471.6559,1365241.177
46,39362,9.156666756,-61.7183489,56.10931593,418711.3607,1361022.061
47,39363,1.586666703,-61.57625324,56.06336583,427948.6913,1356801.254
48,39364,3.069999933,-61.43452477,56.01724296,437183.6468,1352578.763
49,39365,5.143333435,-61.15216931,55.92448194,455646.4297,1344128.764
50,39366,0.723333359,-61.01154224,55.8778453,464874.2557,1339901.273
51,39367,23.51333427,-60.8712822,55.83103893,474099.704,1335672.131
52,39368,9.999999046,-60.4527034,55.68960898,501761.7767,1322974.887
53,39369,5,-60.31391056,55.64213123,510977.7085,1318739.226
54,39371,0.880000055,-57.87812443,54.75988235,676457.2333,1242229.903
55,39373,0.880000055,-57.35282984,54.55696441,713125.6577,1225161.69
56,39651,0.286666662,-67.92979382,57.75126148,33808.64552,1523187.371
57,39652,0.723333359,-67.77313108,57.71315114,43140.13259,1519045.233
58,39664,0.723333359,-65.92076774,57.24015745,154938.0753,1469183.404
59,39685,4.453333378,-62.80365285,56.3457748,349776.8825,1381265.637
60,39687,15.1833334,-62.51514034,56.25637545,368278.8943,1372851.045
61,39689,3.99000001,-62.22808691,56.16626751,386771.4608,1364429.522
62,39690,11.33333302,-62.08510753,56.12094972,396014.1996,1360216.182
63,39691,5,-61.94249312,56.07545705,405254.5741,1356001.135
64,39692,7.230000019,-61.8002437,56.02979028,414492.5835,1351784.389
65,39693,12.8399992,-61.6583593,55.98395015,423728.2268,1347565.952
66,39694,3.863333464,-61.51683991,55.93793743,432961.5035,1343345.833
67,39695,18.98666763,-61.37568552,55.89175287,442192.4126,1339124.039
68,39696,8.92666626,-61.23489612,55.84539722,451420.9534,1334900.579
69,39697,5,-61.09447165,55.79887125,460647.1254,1330675.461
70,39698,12.95666695,-60.95441207,55.7521757,469870.9277,1326448.693
71,39699,22.02000046,-60.81471731,55.70531134,479092.36,1322220.284
72,39700,3.069999933,-60.67538729,55.65827892,488311.4215,1317990.241
73,39703,37.86500168,-60.12171249,55.46848366,525163.9507,1301053.9
74,39704,39.65000153,-59.3021203,55.17887667,580371.5527,1275601.762
75,39706,6.769999981,-59.03182897,55.08105453,598755.0942,1267105.271
76,39707,7.723333359,-57.96514161,54.68349227,672194.2822,1233058.768
77,39777,1.960000038,-121.5281297,57.78020436,-2862049.008,2638041.864
78,39970,8.413332939,-71.03670576,58.35000932,-148021.703,1592115.102
79,39991,0.723333359,-67.68834779,57.59117116,48325.28446,1505574.033
80,40025,16.5466671,-62.59558118,56.17625878,364071.0391,1363603.266
81,40027,0.513333321,-62.3089699,56.08636838,382560.1582,1355186.459
82,40028,9.136666298,-62.16620831,56.04115966,391801.1858,1350975.479
83,40029,16.22000122,-62.02380949,55.99577625,401039.8574,1346762.793
