OBJECTID,pointid,grid_code,Latitude,Longitude,Y,X,Elevation
1,1,1,62.53673875,-77.51567462,2085995.923,-466107.6629,0
2,2,1,62.42552471,-77.87300228,2075995.923,-486107.6629,0
3,3,1,62.4370476,-77.68231616,2075995.923,-476107.6629,0
4,4,1,62.44833442,-77.49149884,2075995.923,-466107.6629,0
5,5,1,62.45938497,-77.30055288,2075995.923,-456107.6629,0
6,6,1,62.47019903,-77.10948089,2075995.923,-446107.6629,0
7,7,1,62.4807764,-76.91828546,2075995.923,-436107.6629,0
8,8,1,62.49111688,-76.72696921,2075995.923,-426107.6629,0
9,9,1,62.32541309,-78.03801287,2065995.923,-496107.6629,0
10,10,1,62.33714406,-77.84795768,2065995.923,-486107.6629,0
11,11,1,62.34863973,-77.65776977,2065995.923,-476107.6629,0
12,12,1,62.35989989,-77.46745168,2065995.923,-466107.6629,0
13,13,1,62.37092431,-77.27700599,2065995.923,-456107.6629,0
14,14,1,62.38171279,-77.08643525,2065995.923,-446107.6629,0
15,15,1,62.39226513,-76.89574206,2065995.923,-436107.6629,0
16,16,1,62.40258112,-76.704929,2065995.923,-426107.6629,0
17,17,1,62.41266057,-76.51399868,2065995.923,-416107.6629,0
18,18,1,62.23702996,-78.01260639,2055995.923,-496107.6629,0
19,19,1,62.24873328,-77.82304581,2055995.923,-486107.6629,0
20,20,1,62.26020185,-77.63335355,2055995.923,-476107.6629,0
21,21,1,62.27143544,-77.44353214,2055995.923,-466107.6629,0
22,22,1,62.28243384,-77.25358413,2055995.923,-456107.6629,0
23,23,1,62.29319684,-77.06351207,2055995.923,-446107.6629,0
24,24,1,62.30372424,-76.87331852,2055995.923,-436107.6629,0
25,25,1,62.31401585,-76.68300606,2055995.923,-426107.6629,0
26,26,1,62.32407146,-76.49257726,2055995.923,-416107.6629,0
27,27,1,62.33389089,-76.30203473,2055995.923,-406107.6629,0
28,28,1,62.34347395,-76.11138105,2055995.923,-396107.6629,0
29,29,1,62.43997203,-73.81582769,2055995.923,-276107.6629,0
30,30,1,62.14861688,-77.98733412,2045995.923,-496107.6629,0
31,31,1,62.16029267,-77.79826562,2045995.923,-486107.6629,0
32,32,1,62.17173424,-77.60906648,2045995.923,-476107.6629,0
33,33,1,62.18294137,-77.41973921,2045995.923,-466107.6629,0
34,34,1,62.19391385,-77.23028633,2045995.923,-456107.6629,0
35,35,1,62.20465148,-77.04071038,2045995.923,-446107.6629,0
36,36,1,62.21515405,-76.8510139,2045995.923,-436107.6629,0
37,37,1,62.22542136,-76.66119945,2045995.923,-426107.6629,0
38,38,1,62.23545323,-76.47126958,2045995.923,-416107.6629,0
39,39,1,62.24524946,-76.28122687,2045995.923,-406107.6629,0
40,40,1,62.25480986,-76.09107391,2045995.923,-396107.6629,0
41,41,1,62.26413427,-75.90081328,2045995.923,-386107.6629,0
42,42,1,62.2732225,-75.71044759,2045995.923,-376107.6629,0
43,43,1,62.28207437,-75.51997944,2045995.923,-366107.6629,0
44,44,1,62.29068973,-75.32941145,2045995.923,-356107.6629,0
45,45,1,62.34436156,-73.99286174,2045995.923,-286107.6629,0
46,46,1,62.35107927,-73.80159027,2045995.923,-276107.6629,0
47,47,1,62.35755914,-73.61024289,2045995.923,-266107.6629,0
48,48,1,62.36380106,-73.41882227,2045995.923,-256107.6629,0
49,49,1,62.06017416,-77.96219499,2035995.923,-496107.6629,0
50,50,1,62.07182253,-77.77361607,2035995.923,-486107.6629,0
51,51,1,62.0832372,-77.58490754,2035995.923,-476107.6629,0
52,52,1,62.09441798,-77.39607188,2035995.923,-466107.6629,0
53,53,1,62.10536465,-77.2071116,2035995.923,-456107.6629,0
54,54,1,62.11607699,-77.01802922,2035995.923,-446107.6629,0
55,55,1,62.12655483,-76.82882726,2035995.923,-436107.6629,0
56,56,1,62.13679795,-76.63950825,2035995.923,-426107.6629,0
57,57,1,62.14680616,-76.45007474,2035995.923,-416107.6629,0
58,58,1,62.15657929,-76.26052928,2035995.923,-406107.6629,0
59,59,1,62.16611713,-76.07087443,2035995.923,-396107.6629,0
60,60,1,62.17541952,-75.88111277,2035995.923,-386107.6629,0
61,61,1,62.18448628,-75.69124688,2035995.923,-376107.6629,0
62,62,1,62.19331724,-75.50127934,2035995.923,-366107.6629,0
63,63,1,62.20191224,-75.31121275,2035995.923,-356107.6629,0
64,64,1,62.2102711,-75.12104972,2035995.923,-346107.6629,0
65,65,1,62.21839367,-74.93079287,2035995.923,-336107.6629,0
66,66,1,62.23392934,-74.55000818,2035995.923,-316107.6629,0
67,67,1,62.24134215,-74.35948562,2035995.923,-306107.6629,0
68,68,1,62.24851808,-74.16887976,2035995.923,-296107.6629,0
69,69,1,62.255457,-73.97819326,2035995.923,-286107.6629,0
70,70,1,62.26215877,-73.78742878,2035995.923,-276107.6629,0
71,71,1,62.26862328,-73.59658898,2035995.923,-266107.6629,0
72,72,1,62.27485038,-73.40567654,2035995.923,-256107.6629,0
73,73,1,62.28083998,-73.21469413,2035995.923,-246107.6629,0
74,74,1,61.97170208,-77.93718796,2025995.923,-496107.6629,0
75,75,1,61.98332313,-77.74909614,2025995.923,-486107.6629,0
76,76,1,61.99471103,-77.56087572,2025995.923,-476107.6629,0
77,77,1,62.00586555,-77.37252917,2025995.923,-466107.6629,0
78,78,1,62.01678651,-77.18405898,2025995.923,-456107.6629,0
79,79,1,62.02747368,-76.99546765,2025995.923,-446107.6629,0
80,80,1,62.03792687,-76.80675767,2025995.923,-436107.6629,0
81,81,1,62.0481459,-76.61793156,2025995.923,-426107.6629,0
82,82,1,62.05813055,-76.42899185,2025995.923,-416107.6629,0
83,83,1,62.06788066,-76.23994108,2025995.923,-406107.6629,0
84,84,1,62.07739604,-76.05078177,2025995.923,-396107.6629,0
85,85,1,62.0866765,-75.8615165,2025995.923,-386107.6629,0
86,86,1,62.09572188,-75.67214781,2025995.923,-376107.6629,0
87,87,1,62.10453201,-75.48267828,2025995.923,-366107.6629,0
88,88,1,62.11310672,-75.29311049,2025995.923,-356107.6629,0
89,89,1,62.12144584,-75.10344702,2025995.923,-346107.6629,0
90,90,1,62.12954923,-74.91369046,2025995.923,-336107.6629,0
91,91,1,62.14504819,-74.53390852,2025995.923,-316107.6629,0
92,92,1,62.15244346,-74.34388836,2025995.923,-306107.6629,0
93,93,1,62.15960242,-74.15378556,2025995.923,-296107.6629,0
94,94,1,62.16652492,-73.96360276,2025995.923,-286107.6629,0
95,95,1,62.17321083,-73.77334261,2025995.923,-276107.6629,0
96,96,1,62.17966002,-73.58300773,2025995.923,-266107.6629,0
97,97,1,62.18587238,-73.39260078,2025995.923,-256107.6629,0
98,98,1,62.19184779,-73.20212443,2025995.923,-246107.6629,0
99,99,1,61.88320094,-77.912312,2015995.923,-496107.6629,0
100,100,1,61.89479478,-77.72470482,2015995.923,-486107.6629,0
101,101,1,61.906156,-77.53697004,2015995.923,-476107.6629,0
102,102,1,61.91728438,-77.34911011,2015995.923,-466107.6629,0
103,103,1,61.92817972,-77.16112751,2015995.923,-456107.6629,0
104,104,1,61.93884182,-76.97302471,2015995.923,-446107.6629,0
105,105,1,61.94927047,-76.7848042,2015995.923,-436107.6629,0
106,106,1,61.95946549,-76.59646847,2015995.923,-426107.6629,0
107,107,1,61.96942669,-76.40802003,2015995.923,-416107.6629,0
108,108,1,61.97915387,-76.2194614,2015995.923,-406107.6629,0
109,109,1,61.98864687,-76.03079509,2015995.923,-396107.6629,0
110,110,1,61.9979055,-75.84202364,2015995.923,-386107.6629,0
111,111,1,62.00692958,-75.65314959,2015995.923,-376107.6629,0
112,112,1,62.01571896,-75.4641755,2015995.923,-366107.6629,0
113,113,1,62.02427346,-75.27510391,2015995.923,-356107.6629,0
114,114,1,62.03259293,-75.0859374,2015995.923,-346107.6629,0
