Name	DateM1_2012	DateM2_2012	DateM3_2012	DateM1_2013	DateM2_2013	DateM3_2013	DateM0_2014	DateM1_2014	DateM2_2014	DateM3_2014
T001	2012-07-04	2012-08-05	NA	NA	2013-08-06	2013-09-20	2014-06-28	2014-07-03	2014-08-06	2014-09-04
T002	2012-07-04	2012-08-05	NA	NA	2013-08-06	2013-09-20	2014-06-28	2014-07-03	2014-08-06	2014-09-04
T003	2012-07-04	2012-08-05	2012-09-14	NA	2013-08-06	2013-09-20	2014-06-28	2014-07-03	2014-08-06	2014-09-07
T004	2012-07-04	2012-08-05	2012-09-14	NA	2013-08-06	2013-09-20	2014-06-28	2014-07-03	2014-08-07	2014-09-04
T006	NA	2012-08-08	2012-09-16	2013-07-14	2013-08-07	2013-09-20	2014-06-27	2014-07-14	2014-08-20	NA
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
