FID,ANNEE,SUPER_HA,Ia,NIVEAU,Longitude,Latitude,X,Y,RastX,RastY
22634,2012,8.417640431,1,Léger,-72.95862538,46.49814766,1675679.729,13688.75847,-341710.3292,288749.6834
22635,2012,1.724957114,1,Léger,-72.84494691,46.56020717,1681591.753,23242.2148,-332590.6484,295092.5287
22636,2012,10.2030979,1,Léger,-72.84275928,46.56080286,1681728.189,23362.92654,-332419.3898,295148.3882
22637,2012,2.449062619,1,Léger,-73.00891455,46.59671178,1668259.197,22779.04333,-344870.2737,299914.2723
22638,2012,15.22093696,1,Léger,-73.01161154,46.59680526,1668059.26,22718.18352,-345075.631,299937.6318
22639,2012,14.94417252,1,Léger,-73.01157883,46.61539468,1667354.437,24682.62949,-344943.0909,301997.3862
22640,2012,5.517233219,1,Léger,-72.78483462,46.63212277,1683204.468,32420.4107,-327516.9661,302785.7945
22641,2012,12.63795425,1,Léger,-73.01472626,46.65002934,1665808.075,28258.22575,-344940.9605,305850.2817
22642,2012,4.115571245,1,Léger,-73.01283371,46.65096426,1665910.166,28406.53242,-344790.0039,305944.7509
22643,2012,5.824864891,1,Léger,-72.80696762,46.68886651,1679418.645,37820.42916,-328827.761,309175.7075
22644,2012,9.981369642,1,Léger,-79.02406337,46.75498893,1219057.249,-96849.25485,-800004.4107,365550.4791
22645,2012,4.111775263,2,Modéré,-79.12779934,46.76821104,1210940.77,-97393.57317,-807615.1274,368167.3963
22646,2012,0.042860502,1,Léger,-79.09308292,46.7703461,1213474.727,-96499.83873,-804961.3733,368010.6316
22647,2012,8.404202367,2,Modéré,-79.12175306,46.770404,1211331.654,-97040.03259,-807123.0499,368339.923
22648,2012,0.641859846,1,Léger,-79.09728397,46.7721143,1213089.463,-96387.76415,-805180.7056,368147.7406
22649,2012,19.7485408,2,Modéré,-79.1250418,46.7708089,1211074.773,-97058.64274,-807364.4664,368421.4682
22650,2012,4.822606228,1,Léger,-79.11885245,46.77230971,1211495.493,-96777.60811,-806872.9816,368516.4223
22651,2012,13.68495541,1,Léger,-79.11384541,46.77373292,1211830.013,-96527.50416,-806471.9728,368616.224
22652,2012,0.855648995,1,Léger,-79.11477277,46.77581313,1211703.071,-96319.03173,-806507.791,368855.0411
22653,2012,0.5393002,1,Léger,-79.11552076,46.77598914,1211642.326,-96314.14706,-806561.3182,368882.7937
22654,2012,42.62531496,1,Léger,-79.09272619,46.77369477,1213408.392,-96129.03055,-804879.6425,368374.2535
22655,2012,0.057882607,1,Léger,-79.12077866,46.77867133,1211175.283,-96122.70054,-806913.8489,369236.5218
22656,2012,0.970745613,1,Léger,-79.11866961,46.77884033,1211328.108,-96064.16748,-806752.0184,369231.2934
22657,2012,0.907324829,1,Léger,-79.11854786,46.77842881,1211420.084,-96106.58464,-806732.325,369127.1283
22658,2012,9.864694211,1,Léger,-79.11798172,46.7768167,1211435.593,-96271.06176,-806733.3401,369001.3785
